AlgoType,SmplRate,#Files,Check Type,Index,Yat,Year,Month,Day,Hour,Minute,AudioName,ScoresMeanOn30,AudioUrl,UniqueName
lof,fs1,186,conc feat spectral (normal),145,1,2020,3,25,2,0,20200325_020000.WAV,3.4029,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200325_020000.WAV,yat1_20200325_020000
lof,fs1,186,conc feat spectral (normal),64,1,2020,3,11,14,0,20200311_140000.WAV,2.7679,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200311_140000.WAV,yat1_20200311_140000
lof,fs1,186,conc feat spectral (normal),112,1,2020,3,19,14,0,20200319_140000.WAV,2.7539,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200319_140000.WAV,yat1_20200319_140000
lof,fs1,186,conc feat spectral (normal),42,1,2020,3,7,22,0,20200307_220000.WAV,2.7238,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200307_220000.WAV,yat1_20200307_220000
lof,fs1,186,conc feat time (normal),41,1,2020,3,7,18,0,20200307_180000.WAV,2.1957,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200307_180000.WAV,yat1_20200307_180000
lof,fs1,186,conc feat time (normal),106,1,2020,3,18,14,0,20200318_140000.WAV,2.1194,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200318_140000.WAV,yat1_20200318_140000
lof,fs1,186,conc feat time (normal),11,1,2020,3,2,18,0,20200302_180000.WAV,2.021,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200302_180000.WAV,yat1_20200302_180000
lof,fs1,186,conc avg feat all (normal),137,1,2020,3,23,18,0,20200323_180000.WAV,7.699,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200323_180000.WAV,yat1_20200323_180000
lof,fs1,186,conc avg feat all (normal),6,1,2020,3,1,22,0,20200301_220000.WAV,2.2271,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200301_220000.WAV,yat1_20200301_220000
lof,fs1,186,conc avg feat all (normal),17,1,2020,3,3,18,0,20200303_180000.WAV,2.1355,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200303_180000.WAV,yat1_20200303_180000
lof,fs1,186,conc avg feat spectral (normal),137,1,2020,3,23,18,0,20200323_180000.WAV,7.6991,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200323_180000.WAV,yat1_20200323_180000
lof,fs1,186,conc avg feat spectral (normal),6,1,2020,3,1,22,0,20200301_220000.WAV,2.2271,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200301_220000.WAV,yat1_20200301_220000
