SmplRate,#Files,Check Type,Index,Yat,Year,Month,Day,Hour,Minute,AudioName,ScoresMeanOn200,AudioUrl,UniqueNames
fs1,186,conc avg feat all (zscore),13,1,2020,3,3,2,0,20200303_020000.WAV,0.45458,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200303_020000.WAV,yat1_20200303_020000
fs1,186,conc avg feat all (zscore),181,1,2020,3,31,2,0,20200331_020000.WAV,0.45403,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200331_020000.WAV,yat1_20200331_020000
fs1,186,conc avg feat all (zscore),149,1,2020,3,25,18,0,20200325_180000.WAV,0.45049,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200325_180000.WAV,yat1_20200325_180000
fs1,186,conc avg feat all (zscore),175,1,2020,3,30,2,0,20200330_020000.WAV,0.45026,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200330_020000.WAV,yat1_20200330_020000
fs1,186,conc avg feat all (zscore),138,1,2020,3,23,22,0,20200323_220000.WAV,0.44879,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200323_220000.WAV,yat1_20200323_220000
fs1,186,conc avg feat all (zscore),55,1,2020,3,10,2,0,20200310_020000.WAV,0.44863,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200310_020000.WAV,yat1_20200310_020000
fs1,186,conc avg feat all (zscore),56,1,2020,3,10,6,0,20200310_060000.WAV,0.44757,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200310_060000.WAV,yat1_20200310_060000
fs1,186,conc avg feat all (zscore),12,1,2020,3,2,22,0,20200302_220000.WAV,0.44704,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200302_220000.WAV,yat1_20200302_220000
fs1,186,conc avg feat all (zscore),97,1,2020,3,17,2,0,20200317_020000.WAV,0.44573,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200317_020000.WAV,yat1_20200317_020000
fs1,186,conc avg feat all (zscore),77,1,2020,3,13,18,0,20200313_180000.WAV,0.4447,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200313_180000.WAV,yat1_20200313_180000
fs1,186,conc avg feat all (zscore),103,1,2020,3,18,2,0,20200318_020000.WAV,0.44468,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200318_020000.WAV,yat1_20200318_020000
fs1,186,conc avg feat all (zscore),81,1,2020,3,14,10,0,20200314_100000.WAV,0.44467,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200314_100000.WAV,yat1_20200314_100000
fs1,186,conc avg feat all (zscore),83,1,2020,3,14,18,0,20200314_180000.WAV,0.44415,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200314_180000.WAV,yat1_20200314_180000
fs1,186,conc avg feat all (zscore),107,1,2020,3,18,18,0,20200318_180000.WAV,0.44329,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200318_180000.WAV,yat1_20200318_180000
fs1,186,conc avg feat all (zscore),76,1,2020,3,13,14,0,20200313_140000.WAV,0.44145,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200313_140000.WAV,yat1_20200313_140000
fs1,186,conc avg feat all (zscore),157,1,2020,3,27,2,0,20200327_020000.WAV,0.44059,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200327_020000.WAV,yat1_20200327_020000
fs1,186,conc avg feat all (zscore),46,1,2020,3,8,14,0,20200308_140000.WAV,0.44042,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200308_140000.WAV,yat1_20200308_140000
fs1,186,conc avg feat all (zscore),185,1,2020,3,31,18,0,20200331_180000.WAV,0.43982,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200331_180000.WAV,yat1_20200331_180000
fs1,186,conc avg feat all (zscore),152,1,2020,3,26,6,0,20200326_060000.WAV,0.43924,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200326_060000.WAV,yat1_20200326_060000
fs1,186,conc avg feat all (zscore),116,1,2020,3,20,6,0,20200320_060000.WAV,0.43894,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200320_060000.WAV,yat1_20200320_060000
fs1,186,conc avg feat all (zscore),159,1,2020,3,27,10,0,20200327_100000.WAV,0.43745,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200327_100000.WAV,yat1_20200327_100000
fs1,186,conc avg feat all (zscore),28,1,2020,3,5,14,0,20200305_140000.WAV,0.43619,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200305_140000.WAV,yat1_20200305_140000
fs1,186,conc avg feat all (zscore),147,1,2020,3,25,10,0,20200325_100000.WAV,0.43467,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200325_100000.WAV,yat1_20200325_100000
fs1,186,conc avg feat all (zscore),139,1,2020,3,24,2,0,20200324_020000.WAV,0.43376,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200324_020000.WAV,yat1_20200324_020000
fs1,186,conc avg feat all (zscore),66,1,2020,3,11,22,0,20200311_220000.WAV,0.43374,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200311_220000.WAV,yat1_20200311_220000
fs1,186,conc avg feat all (zscore),67,1,2020,3,12,2,0,20200312_020000.WAV,0.43156,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200312_020000.WAV,yat1_20200312_020000
fs1,186,conc avg feat all (zscore),123,1,2020,3,21,10,0,20200321_100000.WAV,0.4302,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200321_100000.WAV,yat1_20200321_100000
fs1,186,conc avg feat all (zscore),133,1,2020,3,23,2,0,20200323_020000.WAV,0.42943,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200323_020000.WAV,yat1_20200323_020000
fs1,186,conc avg feat all (zscore),24,1,2020,3,4,22,0,20200304_220000.WAV,0.42929,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200304_220000.WAV,yat1_20200304_220000
fs1,186,conc avg feat all (zscore),91,1,2020,3,16,2,0,20200316_020000.WAV,0.4288,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200316_020000.WAV,yat1_20200316_020000
fs1,186,conc avg feat all (zscore),172,1,2020,3,29,14,0,20200329_140000.WAV,0.42842,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200329_140000.WAV,yat1_20200329_140000
fs1,186,conc avg feat all (zscore),61,1,2020,3,11,2,0,20200311_020000.WAV,0.42806,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200311_020000.WAV,yat1_20200311_020000
fs1,186,conc avg feat all (zscore),151,1,2020,3,26,2,0,20200326_020000.WAV,0.42781,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200326_020000.WAV,yat1_20200326_020000
fs1,186,conc avg feat all (zscore),153,1,2020,3,26,10,0,20200326_100000.WAV,0.42762,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200326_100000.WAV,yat1_20200326_100000
fs1,186,conc avg feat all (zscore),14,1,2020,3,3,6,0,20200303_060000.WAV,0.42688,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200303_060000.WAV,yat1_20200303_060000
fs1,186,conc avg feat all (zscore),35,1,2020,3,6,18,0,20200306_180000.WAV,0.42655,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200306_180000.WAV,yat1_20200306_180000
fs1,186,conc avg feat all (zscore),62,1,2020,3,11,6,0,20200311_060000.WAV,0.42637,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200311_060000.WAV,yat1_20200311_060000
fs1,186,conc avg feat all (zscore),70,1,2020,3,12,14,0,20200312_140000.WAV,0.42632,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200312_140000.WAV,yat1_20200312_140000
fs1,186,conc avg feat all (zscore),36,1,2020,3,6,22,0,20200306_220000.WAV,0.42595,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200306_220000.WAV,yat1_20200306_220000
fs1,186,conc avg feat all (zscore),164,1,2020,3,28,6,0,20200328_060000.WAV,0.42564,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200328_060000.WAV,yat1_20200328_060000
fs1,186,conc avg feat all (zscore),43,1,2020,3,8,2,0,20200308_020000.WAV,0.42507,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200308_020000.WAV,yat1_20200308_020000
fs1,186,conc avg feat all (zscore),82,1,2020,3,14,14,0,20200314_140000.WAV,0.42426,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200314_140000.WAV,yat1_20200314_140000
fs1,186,conc avg feat all (zscore),63,1,2020,3,11,10,0,20200311_100000.WAV,0.42413,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200311_100000.WAV,yat1_20200311_100000
fs1,186,conc avg feat all (zscore),118,1,2020,3,20,14,0,20200320_140000.WAV,0.42358,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200320_140000.WAV,yat1_20200320_140000
fs1,186,conc avg feat all (zscore),45,1,2020,3,8,10,0,20200308_100000.WAV,0.42283,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200308_100000.WAV,yat1_20200308_100000
